"date","ksf_rdo_concentration","ksf_rdo_saturation","ksf_oxygen_partial_pressure","ksf_actual_conductivity","ksf_specific_conductivity","ksf_salinity","ksf_density","ksf_total_dissolved_solids","ksf_chlorophyll_a_fluorescence","ksf_ammonium","ksf_ammonium_m_v","ksf_barometric_pressure"
2023-12-05,6.12796058333333,89.8212698958333,138.966961458333,49848.3801041667,49360.5820833333,32.799583125,1.02152463541667,32.0843785416667,0.911451229166667,9.07780075,62.8576178125,0.099375
2023-12-06,6.04463986458333,88.6528977083333,137.144384375,49841.7444791667,49307.9759375,32.7617171875,1.02148023958333,32.050184375,1.27515252083333,9.0242684375,62.7295673958333,0.10078125
2023-12-07,5.53640221875,81.2052119791667,125.626649479167,49890.8517708333,49359.6576041667,32.8000314583333,1.02151091666667,32.0837778125,1.20555156145833,9.0286588125,62.7405445833333,0.0995625
2023-12-08,6.09592683333333,89.7146215625,138.728119791667,49987.79125,49248.2819791667,32.7221747916667,1.02138384375,32.0113834375,1.22375248958333,9.05888470833333,62.8650190625,0.1051875
2023-12-09,6.27072407291667,92.7199797916667,143.290728125,50186.1845833333,49165.7596875,32.66762625,1.02125033333333,31.957744375,1.14298709583333,9.13738591666667,63.1300858333333,0.11221875
2023-12-10,6.16548927083333,91.1688614583333,140.889490625,50172.4736458333,49139.2767708333,32.6480613541667,1.02123084375,31.9405303125,1.283083346875,9.13291225,63.1211447916667,0.11184375
2023-12-11,6.17298084375,91.4121425,141.237486875,50214.3873958333,49080.8201041667,32.6070235416667,1.02116663541667,31.9025326041667,1.5692588125,9.16571740625,63.2282345833333,0.1145625
2023-12-12,6.11107832291667,90.2469310416667,139.469790625,49903.2894791667,48878.5526041667,32.4540148958333,1.02108628125,31.7710591666667,1.73799647916667,9.107348875,63.055605,0.1119375
2023-12-13,6.12027205208333,89.55910875,138.538361458333,49187.755,48622.3091666667,32.2522225,1.02108408333333,31.6045016666667,1.72021276041667,8.84834473958333,62.2795769791667,0.10171875
2023-12-14,5.89420353125,84.8343323958333,131.486030208333,48468.4236458333,48821.874375,32.3758619791667,1.02147513541667,31.7342183333333,1.60010567708333,8.5419438125,61.2536323958333,0.0796875
2023-12-15,5.90071447916667,84.1005920833333,130.485488541667,47950.7019791667,48842.35375,32.3750717708333,1.02164489583333,31.7475303125,1.44919840625,8.31356927083333,60.5068355208333,0.06853125
2023-12-16,5.93222128125,84.1047483333333,130.549318854167,47492.4165625,48618.4995833333,32.2014005208333,1.02158823958333,31.6020255208333,1.44350102083333,8.18573107291667,60.095389375,0.06478125
2023-12-17,5.89844421875,83.4913160416667,129.612692708333,47329.4980208333,48514.0057291667,32.1219590625,1.02154726041667,31.5341046875,1.45069915625,8.14523925,59.9671895833333,0.0639375
2023-12-18,6.12004006993007,86.1678553146853,133.819578321678,46794.1553146853,48161.4955244755,31.8546834965035,1.02140537062937,31.304972027972,1.38756299300699,8.02798318881119,59.5891391608392,0.0584685314685315
2023-12-19,6.40185190625,90.064810625,139.881204166667,46734.1127083333,48145.315,31.841125,1.02140877083333,31.294455,1.4741886875,7.86540507291667,59.1055054166667,0.05859375
2023-12-20,6.3937146875,88.6841575,137.86130625,45205.0734375,47024.9039583333,30.9995786458333,1.02091277083333,30.56618875,1.50062613541667,7.45207767708333,57.74729,0.05015625
2023-12-21,6.73217032291667,92.8090948958333,144.3451375,44675.3428125,46768.9347916667,30.8001173958333,1.02085015625,30.3998080208333,1.44267644791667,7.13956796875,56.7076611458333,0.0448125
2023-12-22,6.6274899375,92.0677535416667,143.098196875,45197.11,46950.79,30.9461828125,1.0208516875,30.5180142708333,1.41357728125,7.23375158333333,57.085404375,0.05203125
2023-12-23,6.408646375,89.6853498958333,139.305436458333,45709.8553125,47137.605625,31.0949133333333,1.020859,30.6394434375,1.47847078125,7.32773348958333,57.4554748958333,0.05784375
2023-12-24,6.17962272916667,86.8914909375,134.90299125,45961.9978125,47154.8510416667,31.1152184375,1.0207994375,30.6506540625,1.59222311458333,7.41385057291667,57.776719375,0.0613125
2023-12-25,6.05785254166667,85.2906451041667,132.394126666667,45945.4885416667,47044.06625,31.036443125,1.02071042708333,30.578643125,2.06384441666667,7.49455303125,58.0477466666667,0.0645
2023-12-26,6.282351,88.277721875,137.068389583333,45971.5828125,47212.985625,31.1567363541667,1.02084597916667,30.6884409375,2.03125176041667,7.49336247916667,58.0142932291667,0.0609375
2023-12-27,5.76849471875,81.1400885416667,125.976328020833,46081.6321875,47291.6334375,31.21570375,1.0208795625,30.7395621875,2.130767625,7.51970219791667,58.1022848958333,0.06225
2023-12-28,6.32710301041667,89.463334375,138.821223229167,46280.2604166667,47221.24,31.1722140625,1.0207611875,30.6938058333333,2.04835389583333,7.53605778125,58.2111376041667,0.06778125
